,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,753.0,1355.0,2059.0,1788.0,979.0,1224.0,594489.0,304443.0,353283.0,370903.0,219411.0,406886.0,206456
1,,,2183.0,2375.0,2030.0,1733.0,1357.0,594300.0,304254.0,353094.0,370714.0,219222.0,406697.0,206267
2,,,,2340.0,2281.0,640.0,1668.0,594844.0,304797.0,353638.0,371258.0,219766.0,407240.0,206810
3,,,,,807.0,1816.0,3240.0,596506.0,306459.0,355300.0,372920.0,221428.0,408902.0,208472
4,,,,,,1621.0,2907.0,596130.0,306083.0,354924.0,372544.0,221052.0,408526.0,208096
5,,,,,,,1855.0,595140.0,305093.0,353934.0,371554.0,220061.0,407536.0,207106
6,,,,,,,,593426.0,303379.0,352220.0,369840.0,218348.0,405822.0,205392
7,,,,,,,,,312694.0,370872.0,387186.0,377592.0,345518.0,421487
8,,,,,,,,,,179520.0,79745.0,84155.0,219407.0,151833
9,,,,,,,,,,,255478.0,188850.0,54171.0,152049
10,,,,,,,,,,,,151862.0,295233.0,225913
11,,,,,,,,,,,,,238200.0,93483
12,,,,,,,,,,,,,,204341
