name,y,x,place_types,id,rating,photo_ref,transit_time
babyGap,2.3478312,48.8589551,clothing_store|store,ChIJ-QIn-B5u5kcR2DmIfT5FgmA,4.8,CmRaAAAAt5D0QfAtAkX-6Imxt1H4kLpqU3BR4Ko7d5nbUp5aHfGz9R4_-O2CrziCP60DznHauleuEaeKv9dLxAVe2s06fRmlDTGvsaFGgMcld0sHmfi-64R-vttU-pc2Y4ve90hlEhCj4pwPrcek5zUNawfCi9n8GhSw1VdVvBPwkgBi82utkRonOzGn-A,396
Carrousel du Louvre,2.3349703,48.862578,shopping_mall,ChIJ6SJcCP5x5kcRJt8m9_lR7_Q,4.4,CmRaAAAAtup0Nkw8rUuX7TOgjk-cnIbPEufawsiyMQWsnGAT3MP3xp76l28TQwQx4hw69JTE7vCEwFmpe_1DnubfZYnA1ppx6ET0FXN884PiahAdm4Estj0P2j_sqYXho_GqcBvVEhDyKoi0KVZiYmXP7ZHUUGkeGhSCaF9kjHNKSpz2r4VyhakjcOcVEA,610
Michael Kors,2.3238821,48.8680071,clothing_store|jewelry_store|shoe_store|store,ChIJ7ao7xzJu5kcR14QvsmgJQUg,4.4,CmRaAAAA6_8NUmiSoGSP8w7cEZPCGvhXlpoX7ZwfWEirfnY8L0a434qcp9MnhNSw0jEpAXj2WyavQHEQ1ejniOY92-a0Mxo0LqRwEwftKUYTk8rzQyHVJRIU2imnibSKJJXqgQ7YEhB8gvlpnRgpkzs-Cu6q0E4rGhSvqzvVo3x0RSOf61nOBHniCJkZVQ,862
Desigual,2.3497627,48.8603339,clothing_store|store,ChIJea-Lvx5u5kcRdJNTOMso_4w,4.3,CmRaAAAAEBZ_DaguPRT1aiR6oFpKTwhJ-QKlYRwVUMmR9Z8sUJqU4jil5-OR6JaZSUrD-bkZ5zSjXBRMSpNQVkj9F77OChGvFoLeLHkiXN6chphXkjW9a3NqSnpm_oWOiV8u4QzVEhDoR0SZfcWQAHyNMZ-O2OodGhQshlbVyCVr4VXExMhsFwZBo3Oi3Q,453
Abercrombie & Fitch,2.307876,48.86924,clothing_store|store,ChIJR9f99cRv5kcRV-OUsl7ZatA,4.1,CmRaAAAAoSkW5YL-Q2vMZZB_h3jU_x7rMd4RtrJbAGk_9yHo2Ok1ZKc_67EaUMGwlSArKkUVptFJqh1NjmNDKwhTe8dysevXHWlSGBFU1y-GTzfnihjvg-KbIB0lCSllBohgbNErEhDRIhNxtEqD0MDUB8ZcdnycGhRh-OFwHN_F4e1-qprjCT_mgQUUoA,908
Forever 21,2.3472027,48.8623826,clothing_store|store,ChIJZ7cS3Rhu5kcRXiXmIpivQEU,3.6,CmRZAAAASSE8zGflh_HT9r6BB-ThrVU-oOwwooWqgkmb7wBrOG4jP5trQ45wCmzIceKinS0q9WqHM8EWJT_9fSl8SVzBtvi-clqUUQGK9pBTXdhbGjxWsEXcq_ayN5ZuSUoYzYp8EhBjvbxfzBWhDcgfquBbMVb5GhTED-ewDrayj0VQU9b9pZH4XKoZbg,692
Dolce&Gabbana,2.3062205,48.8711576,clothing_store|store,ChIJC9539sNv5kcRvsd3zMJhlB0,3.0,,1070
Acne Studios Galeries Lafayette,2.3322379,48.8736435,clothing_store|store,ChIJHbRkBDdu5kcRHT9uaD8s2y8,2.5,,778
H&M,2.3264572,48.8462173,clothing_store|store,ChIJRwqp_s1x5kcRDVUIG8y7K1g,2.5,,1087
Intimissimi,2.3083042,48.8598839,clothing_store|store,ChIJ___Dqdlv5kcRnrH3qR39M7o,2.5,,1612
Société M K,2.2689775,48.8937241,clothing_store|store,ChIJvQXl4nll5kcR--R8Jp7luNw,2.5,,2490
