,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,,,,,,,,,,,,,,,,,,,
1,1147.0,0.0,,,,,,,,,,,,,,,,,,
2,1480.0,2101.0,0.0,,,,,,,,,,,,,,,,,
3,1245.0,1412.0,1929.0,0.0,,,,,,,,,,,,,,,,
4,1915.0,757.0,2412.0,2103.0,0.0,,,,,,,,,,,,,,,
5,1432.0,908.0,1913.0,1680.0,693.0,0.0,,,,,,,,,,,,,,
6,1723.0,1191.0,2188.0,1080.0,1502.0,1557.0,0.0,,,,,,,,,,,,,
7,662.0,589.0,1093.0,910.0,1655.0,1097.0,1505.0,0.0,,,,,,,,,,,,
8,2388.0,917.0,2186.0,1567.0,1155.0,1112.0,645.0,1324.0,0.0,,,,,,,,,,,
9,783.0,796.0,1237.0,1084.0,1834.0,1513.0,1508.0,676.0,1686.0,0.0,,,,,,,,,,
10,1383.0,1466.0,1938.0,1631.0,1320.0,1105.0,2226.0,841.0,2575.0,1553.0,0.0,,,,,,,,,
11,1146.0,1155.0,1627.0,1394.0,885.0,375.0,1989.0,529.0,1230.0,1106.0,801.0,0.0,,,,,,,,
12,1831.0,731.0,2214.0,2036.0,549.0,523.0,1160.0,1234.0,686.0,1371.0,1406.0,961.0,0.0,,,,,,,
13,1016.0,1036.0,1508.0,1264.0,1120.0,427.0,1859.0,442.0,1299.0,1186.0,891.0,599.0,900.0,0.0,,,,,,
14,1772.0,1148.0,2237.0,1129.0,1459.0,1514.0,52.0,1595.0,606.0,1432.0,2176.0,1920.0,1123.0,1566.0,0.0,,,,,
15,1769.0,1181.0,2234.0,1126.0,1492.0,1550.0,832.0,1592.0,642.0,1429.0,2173.0,1917.0,1156.0,1602.0,807.0,0.0,,,,
16,2474.0,2341.0,2971.0,2934.0,1560.0,1588.0,2324.0,2003.0,878.0,2644.0,1606.0,1647.0,1661.0,1929.0,2272.0,2321.0,0.0,,,
17,694.0,1340.0,2109.0,1223.0,2732.0,1343.0,1814.0,1165.0,2324.0,1715.0,2074.0,1818.0,1326.0,1353.0,1854.0,1863.0,2952.0,0.0,,
18,907.0,691.0,1300.0,1155.0,1515.0,821.0,1717.0,317.0,1201.0,779.0,950.0,896.0,722.0,570.0,1665.0,1714.0,2126.0,1024.0,0.0,
19,1617.0,1566.0,2908.0,1770.0,1256.0,1062.0,2460.0,1178.0,2511.0,1517.0,528.0,1009.0,1357.0,990.0,2803.0,2509.0,1746.0,2072.0,1176.0,0.0
