,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,,,,,,,,,,,
1,495.0,0.0,,,,,,,,,,
2,807.0,641.0,0.0,,,,,,,,,
3,1062.0,899.0,225.0,0.0,,,,,,,,
4,612.0,372.0,703.0,912.0,0.0,,,,,,,
5,1361.0,1158.0,858.0,838.0,1252.0,0.0,,,,,,
6,2267.0,1626.0,1394.0,1357.0,2158.0,675.0,0.0,,,,,
7,1061.0,793.0,732.0,538.0,952.0,635.0,1248.0,0.0,,,,
8,1962.0,1832.0,1459.0,1438.0,1853.0,859.0,446.0,1387.0,0.0,,,
9,870.0,725.0,425.0,565.0,761.0,739.0,1103.0,743.0,1233.0,0.0,,
10,889.0,723.0,386.0,442.0,780.0,536.0,1104.0,413.0,1058.0,439.0,0.0,
11,459.0,417.0,767.0,976.0,293.0,1365.0,1978.0,988.0,1996.0,820.0,1031.0,0.0
