,0,1,2,3,4,5,6,7,8,9,10
0,0.0,,,,,,,,,,
1,812.0,0.0,,,,,,,,,
2,1318.0,1383.0,0.0,,,,,,,,
3,875.0,382.0,1275.0,0.0,,,,,,,
4,1193.0,759.0,1533.0,719.0,0.0,,,,,,
5,197.0,814.0,1073.0,715.0,1126.0,0.0,,,,,
6,1395.0,1595.0,819.0,2099.0,2355.0,1522.0,0.0,,,,
7,966.0,1305.0,1370.0,1236.0,1585.0,1085.0,1076.0,0.0,,,
8,865.0,466.0,1236.0,177.0,906.0,771.0,1595.0,1313.0,0.0,,
9,110.0,880.0,1071.0,949.0,1394.0,288.0,1303.0,944.0,750.0,0.0,
10,1217.0,1159.0,2181.0,1043.0,1283.0,1394.0,1761.0,1425.0,1091.0,1118.0,0.0
