,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,,,,,,,,,,,,,,,
1,2690.0,0.0,,,,,,,,,,,,,,
2,4113.0,3974.0,0.0,,,,,,,,,,,,,
3,1291.0,2927.0,4194.0,0.0,,,,,,,,,,,,
4,1488.0,2906.0,3637.0,694.0,0.0,,,,,,,,,,,
5,2929.0,2216.0,3389.0,1719.0,1025.0,0.0,,,,,,,,,,
6,2250.0,3047.0,3850.0,2245.0,2730.0,2970.0,0.0,,,,,,,,,
7,1911.0,2676.0,3653.0,688.0,1395.0,2279.0,1891.0,0.0,,,,,,,,
8,2333.0,1686.0,3018.0,2131.0,1437.0,970.0,2595.0,2701.0,0.0,,,,,,,
9,2788.0,3842.0,5136.0,2051.0,1357.0,1599.0,4239.0,2663.0,2048.0,0.0,,,,,,
10,3244.0,2315.0,2398.0,2634.0,1940.0,1473.0,2878.0,2757.0,1281.0,2717.0,0.0,,,,,
11,1754.0,3117.0,4002.0,2325.0,2894.0,2818.0,1390.0,1803.0,2336.0,3390.0,2260.0,0.0,,,,
12,2799.0,3301.0,4550.0,2524.0,1830.0,1643.0,3917.0,3113.0,2092.0,2607.0,2699.0,3622.0,0.0,,,
13,2182.0,3455.0,5468.0,2607.0,1984.0,1797.0,4015.0,3078.0,2246.0,2761.0,2853.0,3127.0,978.0,0.0,,
14,3100.0,4031.0,4490.0,2324.0,1629.0,1271.0,4081.0,2659.0,2237.0,956.0,2844.0,4647.0,2966.0,3141.0,0.0,
15,2476.0,2625.0,3286.0,1335.0,1816.0,2392.0,1848.0,686.0,2012.0,3107.0,1848.0,2100.0,3424.0,3599.0,3026.0,0.0
