interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
museum,Louvre Museum,4.7,CmRaAAAAVDzikNpQ3grWqWl_aFtJff0Iwl0DXKpkSzqvf0zZPKVCZTlZpT4tKl5gAwm5uYL7Ed_M_LvBQIPrihK7NpnbI1F6w_B62gKXSsbNA5lkHkhu5OYQHD3ib61BXgOo4DXIEhDn-TZgtwJ_DNvMtzaEhOsjGhQeQ6OihVFAJGsWSkXaJFNBX67YKw,museum,2.337644,48.8606111,ChIJD3uTd9hx5kcR1IQvGfr8dbk,736,2
museum,Musée d'Orsay,4.7,CmRaAAAAUuv_7sDplEash5gFeGguXqD9YBO5HN9KpD1oLRslN4IVShjwOaemFgt0Z4AmDFrMbgSjGBriGgsT8Q108m_sDtBEFmbgvLQ1yqaFcLlH6pp1q09PClybyAEn59fflSY0EhCGO-NGWPord21afezIKMtzGhTNFGIeNuDEz36qStWcX6L8R5fWSQ,museum,2.3265614,48.8599614,ChIJG5Qwtitu5kcR2CNEsYy9cdA,831,2
museum,Musée Curie - Institut Curie,4.5,CmRaAAAACTYNAGp4xrhMrh4LNpT3FYd8ZTkZ2chmMUw7kCcpHIs40hkgtvITWK8HUUWlu_3AaAYv1NW3ouH6aLySDhFfEn1Ov_iASfn3j2j0LEwrCOhTSUI3sSrUlqtckOJAR66kEhCGNwl7L3fYFOOIoO5gTofoGhT1GfEr9oMDxqSDYMAnJK_6NGrzDQ,museum,2.3448276,48.8442235,ChIJjU2KN-hx5kcR3wlTp_OOrXA,1180,1
museum,Metiers Art Museum,4.5,CmRaAAAASZs2llkSCL8I1-IWgROe-L4qfthZl3-skIvBVkLbxsMX7WjoF8ZciaWNVhdPrp2Cd3CIbGfiCYq5hYbhrTg5s1rDrj1SYv26T_xtUTXyekgbBvmlRDQmsDwNjAi3kH_lEhBUzW0CpwmsInzCvb3FDAojGhRPO6AaNeemadoG4A7U2etjHkOLoA,museum,2.3554383,48.8666392,ChIJNUTIphpu5kcR4h07VuxFIHc,714,0
museum,National Museum of Natural History,4.5,CmRaAAAADMQZYiQwQmhE4GOmJHpJNP_sdTaxImx6Ci9FbiMnr_62v3BcEW_NQcN55vsepILXUuJH2PuT4tqQHtEM_1JKPXX-5PIaMP0NrzsgcuhJkPkyWRg6c3U6HTbzdOYzpaNCEhDm3EyHrqhpRdCzLXxEjTAqGhTy0zVsdoySNPUqbnSQT5rDD4y9Mw,museum,2.3562101,48.8443425,ChIJEURALfFx5kcR4cbxSSHWQ0c,834,5
museum,The Centre Pompidou,4.4,CmRaAAAArtMvmXpW1VkYEhUHhKy5qOXkW9OA2cs-bSJqOFBEd-_V4HTkdE98T_D_Ud8D1y9z3L7p_WArqCzz7yHkM2vSFTLiPl8dFQqDm4irKZtAbDs9JwyHZOY4IlJeTLeIY26cEhCS-b8V7M6hkuPl9JTzTmX9GhTFaDq5PB7H3lLmF9aGarBTMVC2TA,museum,2.352245,48.860642,ChIJoyC4CRxu5kcRRTPcWX5srLc,569,0
museum,Bibliothèque-musée de l'Opéra,4.4,CmRaAAAAO5udEm9w1Xbjr5xZRMLKtiQiD_j-2sZKiNnS6hdYYPL9nswt_DaZocYaaE8b31XCuFatLmpyHfr_CuOFzEdwU0tq9hcTxgYtREWh0YVEMFrFTp6JSpOzRQjdgcaLA5klEhAwvFk1swFaNMUgnwy8_dovGhSHVIFVu_9qtW8rEimJTZvGeV2DMQ,museum,2.3317141,48.8720052,ChIJ5S5QKjFu5kcRx5gcUAcDn34,543,3
museum,Cluny Museum - National Museum of Medieval Art,4.4,CmRaAAAAkmTexSXHGeXxPdmv-Nb1iGZALieASNOJ_jyqjJiBYkr1VducmbWMXkSUoqpJ5emGOQjw_e9nLwItj4ROnsywOqyRuZSn4w4rGbhmPxB9kNPAiHslKCn27ZEVR7zd3_1wEhCvVPcOB2q87MpnY9gPK03nGhTLUqIZX0KQi08PQPfP0-eAV7Ilig,museum,2.3440808,48.8504833,ChIJLxPh9d1x5kcRf7M1U0pu1gU,828,4
museum,Museum of Decorative Arts,4.4,CmRaAAAATOuJ9y5c8LUkGhMPHLmxbby5FSKGP-RKupPXGH9ukyoAtRiZg3iFBE392LkOIQ2ASFXrOR5xfalWMYm42iQLWTv9-d3vwQ9T86hc26MSCmMnnBGqyuF-bBMkP4QFPci8EhDKIc83WakXcaoy-xQ22pkTGhTBIwioxsMLTJ2QSVAHUVn5fO__7A,museum,2.3333951,48.863063,ChIJ_QwlZC9u5kcRi6OALXVubvc,894,2
museum,Museum of Minerals MINES ParisTech,4.3,CmRaAAAAeb-WCcY_FajNijXD5Xut3v2gOR996OvmTts376K3g7KT847hn5BLCqqBm4aPYi0yA0ZtSxlareyhmQP93RCHs4M8qbbpY8Y2Npzpj9Dt0T7tN833ONEfMOZKMnugjvELEhB33aEqPSFnXiw7AUZkW2CZGhSumSbDDKZMZP7w7Bvpnl9dzyTtSg,museum,2.3394016,48.8451192,ChIJd104OsNx5kcRqW8-Crk_dKk,822,1
museum,Museum of Art and History of Judaism,4.3,CmRaAAAAAklGVnkX4c7OQBZ8_Il6eUaoEeqxfPmNC3YF_RZFpjmd-CgAV69k_BUy-z2Dmb0xk2h6co8h2gPRw-QCBdnpgfQci7K26pPKaK03f0F_0nf7_NAX2s7dbQmlEJPpUmnYEhCFFCXipyAOqa2EiCJVIPRNGhSi7RdAk_uDdpfMenuHL2nn7GTuzw,museum,2.3556112,48.8610102,ChIJydDIqRxu5kcRqB6W-MQwcYU,421,0
museum,Arab World Institute,4.2,CmRaAAAAt0OVf0Ee1rIyMBymxFX5KYYUs-56Q6wLlC8KC98-ZRdhd3aAUesjeIbzwg_DYbdm2ht23QhKj0QDH-T9T_vFSyAPv7SE_kjRQguSfle1JPc7F-LK4aVw-97U2mvFF2d9EhBmgU0QcL7A7eVPzOcc_beoGhSxGbbW151QCgxyKu6HFHquGGpvGA,museum|library,2.3572313,48.8489257,ChIJK-03I_tx5kcRdA4Cj8VV1b4,1130,5
museum,Museum of Freemasonry,4.2,CmRaAAAAKaPebsAlv_tTrRl5yIwMKkeHUUpkCPPrV6rEJq6RQv-s01egHT6QUHQpXsnXc91Wcu3a1OC809RosgVLS7R0DzcOOF1_rvpXTRW38bf-uA_tEfu8YPJHE1yrvZgXgfdWEhAN1bHR61E4_Zq-6LClquFPGhSj4u8PiEi_qG1jtQAWWkva7HD4uA,museum,2.34315,48.874884,ChIJ5WeFCj9u5kcR7-yd40IpLKY,997,3
museum,Musée du Luxembourg,4.2,CmRaAAAAFiNma9gmXbcGJs5rgDH1u95CNAx78VWsyTsf5s-n3DIQMYcpiPx-BnUOUOrNmPdS_XaXtcuauzMIPzz35k_UDPAovPq_H94t3Dglbd7vevm_tqEfwS3FIOsGBmRkKUO4EhCUM2OsQRstIDQacEH0Efu4GhS5fgfAjCsQsvNS4OJ2uHoxgxt8Sg,museum,2.334057,48.8484382,ChIJLxJL9dpx5kcR927ocHiDVgI,1076,4
outdoor_activity,Adrenaline Hunter,3.0,CmRaAAAAp7zzVQvESFHfXnlF-1GgN7VMci8jyRzc8a-hY2Y7WaJ_ZQ8ksYJjXzFlnLB7G86LDauB6Jfpgs0LcOyv239l5-AjaV9i7_th_IIx4VTZZrn9rpr_RYbgrUEihsgKanezEhCYhCjYhzWMDMLOk8Hq88IbGhRIM3aEJR4mtWIU0OF_iBAoKzALmQ,,2.3477962,48.871429,ChIJ3wzT2RVu5kcRJBRJhpyOTt4,1368,3
